ID,Name,TicketsSold,Rate,Genre,Year,Type
1,American Sniper,41268930,7.3,"Action,Biography,Drama",2014,oscar
2,Birdman or (The Unexpected Virtue of Ignorance),2970996,7.7,"Comedy,Drama",2014,oscar
3,Boyhood,2974267,7.9,Drama,2014,oscar
4,The Grand Budapest Hotel,7203269,8.1,"Adventure,Comedy,Crime",2014,oscar
5,The Imitaion Game,3729753,8,"Biography,Drama,Thriller",2014,oscar
6,Selma,6177569,7.5,"Biography,Drama,History",2014,oscar
7,The Theory of Everything,3032111,7.7,"Biography,Drama,Romance",2014,oscar
8,Whiplash,722352,8.5,"Drama,Music",2014,oscar
