ID,Name,TicketsSold,Rate,Genre,Year,Type
1,Black Panther,76845177,7.3,"Action, Adventure, Sci-Fi ",2018,top
2,Avengers: Infinity War,74513225,8.5,"Action, Adventure, Sci-Fi ",2018,top
3,Incredibles 2,66803704,7.7,"Animation, Action, Adventure ",2018,top
4,Jurassic World: Fallen Kingdom,45852883,6.2,"Action, Adventure, Sci-Fi",2018,top
5,Deadpool 2,35621600,7.8,"Action, Adventure, Comedy ",2018,top
6,Dr. Seuss’ The Grinch,29596282,6.3,"Animation, Comedy, Family",2018,top
7,Jumanji: Welcome to the Jungle,25851411,7,"Action, Adventure, Comedy",2018,top
8,Mission: Impossible—Fallout,24166751,7.8,"Action, Adventure, Thriller ",2018,top
9,Ant-Man and the Wasp,23781420,7.1,"Action, Adventure, Comedy ",2018,top
10,Solo: A Star Wars Story,23465149,7,"Action, Adventure, Fantasy",2018,top
