ID,Name,TicketsSold,Rate,Genre,Year,Type
1,The Shape of Water,1746954,7.3," Adventure, Drama, Fantasy ",2017,oscar
2,Call Me by Your Name,547031,7.9," Drama, Romance ",2017,oscar
3,Darkest Hour,2021500,7.4," Biography, Drama, History ",2017,oscar
4,Dunkirk,21000352,7.9," Action, Drama, History ",2017,oscar
5,Get Out,19563449,7.7," Horror, Mystery, Thriller",2017,oscar
6,Lady Bird,3504176,7.4," Comedy, Drama ",2017,oscar
7,Phantom Thread,58845,7.5," Drama, Romance ",2017,oscar
8,The Post,196223,7.2," Biography, Drama, History ",2017,oscar
9,"Three Billboards Outside Ebbing, Missouri",2693939,8.2," Crime, Drama",2017,oscar
