ID,Name,TicketsSold,Rate,Genre,Year,Type
1,Spotlight,3215773,8.1,"Crime, Drama",2015,oscar
2,The Big Short,3921172,7.8,"Biography, Comedy, Drama",2015,oscar
3,Bridge of Spies,8376056,7.6,"Drama, History, Thriller ",2015,oscar
4,Brooklyn,2320759,7.5,"Drama, Romance",2015,oscar
5,Mad Max: Fury Road,18174895,8.1,"Action, Adventure, Sci-Fi ",2015,oscar
6,The Martian,26731359,8,"Adventure, Drama, Sci-Fi ",2015,oscar
7,The Revenant,103502,8,"Action, Adventure, Biography",2015,oscar
8,Room,590388,8.2,"Drama, Thriller",2015,oscar
