ID,Name,TicketsSold,Rate,Genre,Year,Type
1,Guardians of the Galaxy,40765637,8.1,"Action, Adventure, Comedy",2014,top
2,The Hunger Games: Mockingjay-Part 1,39624786,6.6,"Action, Adventure, Sci-Fi",2014,top
3,Captain America: The Winter Soldier,31792773,7.8,"Action, Adventure, Sci-Fi ",2014,top
4,The Lego Movie,31552597,7.8,"Animation, Action, Adventure",2014,top
5,Transformers: Age of Extinction,30041502,5.7,"Action, Adventure, Sci-Fi ",2014,top
6,Maleficent,29548020,7,"Action, Adventure, Family ",2014,top
7,X-Men: Days of Future Past,28631766,8,"Action, Adventure, Sci-Fi",2014,top
8,The Hobbit: The Battle of the Five Armies,27001470,7.4,"Adventure, Fantasy",2014,top
9,Big Hero 6,25851534,7.8,"Animation, Action, Adventure",2014,top
10,Dawn of the Planet of the Apes,25525775,7.6,"Action, Adventure, Drama",2014,top
